"source","target","complex_interaction_OLD","source_genesymbol_OG","target_genesymbol_OG","category_intercell_source","database_intercell_source","category_intercell_target","database_intercell_target","sources","references","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","curation_effort","n_references","n_resources","source_genesymbol","source_genesymbol_subunit_1","source_genesymbol_subunit_2","source_genesymbol_subunit_3","source_genesymbol_subunit_4","source_genesymbol_subunit_5","target_genesymbol","target_genesymbol_subunit_1","target_genesymbol_subunit_2","target_genesymbol_subunit_3","target_genesymbol_subunit_4","target_genesymbol_subunit_5","complex_interaction","method","complex_interaction_rev","is_dupl_undirected"
"Q9Y6N6","Q7L1I2","LAMC3__SV2B","LAMC3","SV2B","","","","","","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"SV2B","SV2B",NA,NA,NA,NA,"LAMC3__SV2B","CellChat extracted","SV2B__LAMC3",FALSE
"Q9Y6N6","Q7L0J3","LAMC3__SV2A","LAMC3","SV2A","","","","","","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"SV2A","SV2A",NA,NA,NA,NA,"LAMC3__SV2A","CellChat extracted","SV2A__LAMC3",FALSE
"Q9Y6N6","Q496J9","LAMC3__SV2C","LAMC3","SV2C","","","","","","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"SV2C","SV2C",NA,NA,NA,NA,"LAMC3__SV2C","CellChat extracted","SV2C__LAMC3",FALSE
"Q9Y6N6","Q14118","LAMC3__DAG1","LAMC3","DAG1","ecm","CellChatDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB","CellChatDB;Wang","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"DAG1","DAG1",NA,NA,NA,NA,"LAMC3__DAG1","LIANA consensus, CellChat extracted","DAG1__LAMC3",FALSE
"Q9Y6N6","Q13797_P05556","LAMC3__ITGA9_ITGB1","LAMC3","ITGA9_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA9_ITGB1","ITGA9","ITGB1",NA,NA,NA,"LAMC3__ITGA9_ITGB1","LIANA consensus, CellChat extracted","ITGA9_ITGB1__LAMC3",FALSE
"Q9Y6N6","Q13683_P05556","LAMC3__ITGA7_ITGB1","LAMC3","ITGA7_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA7_ITGB1","ITGA7","ITGB1",NA,NA,NA,"LAMC3__ITGA7_ITGB1","LIANA consensus, CellChat extracted","ITGA7_ITGB1__LAMC3",FALSE
"Q9Y6N6","P56199_P05556","LAMC3__ITGB1_ITGA1","LAMC3","ITGB1_ITGA1","","","","","","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA1_ITGB1","ITGA1","ITGB1",NA,NA,NA,"LAMC3__ITGA1_ITGB1","CellChat extracted","ITGA1_ITGB1__LAMC3",FALSE
"Q9Y6N6","P26006_P05556","LAMC3__ITGA3_ITGB1","LAMC3","ITGA3_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA3_ITGB1","ITGA3","ITGB1",NA,NA,NA,"LAMC3__ITGA3_ITGB1","LIANA consensus, CellChat extracted","ITGA3_ITGB1__LAMC3",FALSE
"Q9Y6N6","P23229_P16144","LAMC3__ITGA6_ITGB4","LAMC3","ITGA6_ITGB4","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA6_ITGB4","ITGA6","ITGB4",NA,NA,NA,"LAMC3__ITGA6_ITGB4","LIANA consensus, CellChat extracted","ITGA6_ITGB4__LAMC3",FALSE
"Q9Y6N6","P23229_P05556","LAMC3__ITGA6_ITGB1","LAMC3","ITGA6_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA6_ITGB1","ITGA6","ITGB1",NA,NA,NA,"LAMC3__ITGA6_ITGB1","LIANA consensus, CellChat extracted","ITGA6_ITGB1__LAMC3",FALSE
"Q9Y6N6","P17301_P05556","LAMC3__ITGA2_ITGB1","LAMC3","ITGA2_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA2_ITGB1","ITGA2","ITGB1",NA,NA,NA,"LAMC3__ITGA2_ITGB1","LIANA consensus, CellChat extracted","ITGA2_ITGB1__LAMC3",FALSE
"Q9Y6N6","P16070","LAMC3__CD44","LAMC3","CD44","ecm","CellChatDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Wang","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"CD44","CD44",NA,NA,NA,NA,"LAMC3__CD44","LIANA consensus, CellChat extracted","CD44__LAMC3",FALSE
"Q9Y6N6","P06756_P26012","LAMC3__ITGAV_ITGB8","LAMC3","ITGAV_ITGB8","ecm","CellChatDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGAV_ITGB8","ITGAV","ITGB8",NA,NA,NA,"LAMC3__ITGAV_ITGB8","LIANA consensus, CellChat extracted","ITGAV_ITGB8__LAMC3",FALSE
"Q9Y6H8","Q9Y6H8","GJA3__GJA3","GJA3","GJA3","","","","","","","","","","","","","","","","GJA3","GJA3",NA,NA,NA,NA,"GJA3","GJA3",NA,NA,NA,NA,"GJA3__GJA3","CellphoneDB extracted, CellChat extracted","GJA3__GJA3",FALSE
"Q9Y6H8","P36383","GJA3__GJC1","GJA3","GJC1","","","","","","","","","","","","","","","","GJA3","GJA3",NA,NA,NA,NA,"GJC1","GJC1",NA,NA,NA,NA,"GJA3__GJC1","CellphoneDB extracted, CellChat extracted","GJC1__GJA3",FALSE
"Q9Y6H8","P36382","GJA3__GJA5","GJA3","GJA5","","","","","","","","","","","","","","","","GJA3","GJA3",NA,NA,NA,NA,"GJA5","GJA5",NA,NA,NA,NA,"GJA3__GJA5","CellphoneDB extracted, CellChat extracted","GJA5__GJA3",FALSE
"Q9Y6H8","P17302","GJA3__GJA1","GJA3","GJA1","","","","","","","","","","","","","","","","GJA3","GJA3",NA,NA,NA,NA,"GJA1","GJA1",NA,NA,NA,NA,"GJA3__GJA1","CellphoneDB extracted, CellChat extracted","GJA1__GJA3",FALSE
"Q9Y6F9","Q9Y5W5","WNT6__WIF1","WNT6","WIF1","","","","","","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"WIF1","WIF1",NA,NA,NA,NA,"WNT6__WIF1","CellphoneDB extracted","WIF1__WNT6",FALSE
"Q9Y6F9","Q9UP38_O75581","WNT6__FZD1_LRP6","WNT6","FZD1_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD1_LRP6","FZD1","LRP6",NA,NA,NA,"WNT6__FZD1_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD1_LRP6__WNT6",FALSE
"Q9Y6F9","Q9UP38_O75197","WNT6__FZD1_LRP5","WNT6","FZD1_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD1_LRP5","FZD1","LRP5",NA,NA,NA,"WNT6__FZD1_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD1_LRP5__WNT6",FALSE
