"source","target","category_intercell_source","database_intercell_source","category_intercell_target","database_intercell_target","sources","references","method","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","curation_effort","n_references","n_resources","simple_interaction","complex_interaction","parent_intercell_source","parent_intercell_target","ligrecextra","pathwayextra","omnipath","kinaseextra","scope_intercell_source","aspect_intercell_source","category_source_intercell_source","genesymbol_intercell_source","entity_type_intercell_source","consensus_score_intercell_source","transmitter_intercell_source","receiver_intercell_source","secreted_intercell_source","plasma_membrane_transmembrane_intercell_source","plasma_membrane_peripheral_intercell_source","scope_intercell_target","aspect_intercell_target","category_source_intercell_target","genesymbol_intercell_target","entity_type_intercell_target","consensus_score_intercell_target","transmitter_intercell_target","receiver_intercell_target","secreted_intercell_target","plasma_membrane_transmembrane_intercell_target","plasma_membrane_peripheral_intercell_target","ligand_subunits_ord","receptor_subunits_ord","source_protein","lc_stoichiometry","lc_sources","lc_references","target_protein","rc_stoichiometry","rc_sources","rc_references","n_target_units","n_ligand_units","entrezgene_id_lc","ensembl_lc","protein_name_lc","entrezgene_id_rc","ensembl_rc","protein_name_rc","source_genesymbol","target_genesymbol"
"O14511","COMPLEX:P04626_P21860","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker","Cellinker:9168114;Cellinker:9168115","LIANA consensus","","","","","","","","","","NRG2_ERBB2","NRG2_ERBB2_ERBB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRG2","ERBB2__ERBB3","O14511",NA,NA,NA,"P04626_P21860","0:0","CellChatDB;Cellinker;ICELLNET","7514177;10214951;9312020",2,1,9542,"ENSG00000158458","NRG2_HUMAN",NA,NA,NA,"NRG2","ERBB2_ERBB3"
"O14511","COMPLEX:P04626_Q15303","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker","Cellinker:9168114;Cellinker:9168115","LIANA consensus","","","","","","","","","","NRG2_ERBB2","NRG2_ERBB2_ERBB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRG2","ERBB2__ERBB4","O14511",NA,NA,NA,"P04626_Q15303","0:0","CellChatDB;Cellinker;ICELLNET","10214951",2,1,9542,"ENSG00000158458","NRG2_HUMAN",NA,NA,NA,"NRG2","ERBB2_ERBB4"
"O14944","COMPLEX:P00533_P04626","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker","Cellinker:8626392;Cellinker:9419975","LIANA consensus","","","","","","","","","","EREG_EGFR","EREG_EGFR_ERBB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EREG","EGFR__ERBB2","O14944",NA,NA,NA,"P00533_P04626","1:1","CellChatDB;Cellinker;KEGG-MEDICUS;PDB",NA,2,1,2069,"ENSG00000124882","EREG_HUMAN",NA,NA,NA,"EREG","EGFR_ERBB2"
"O14944","COMPLEX:P04626_Q15303","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker","Cellinker:9419975","LIANA consensus","","","","","","","","","","EREG_ERBB2","EREG_ERBB2_ERBB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EREG","ERBB2__ERBB4","O14944",NA,NA,NA,"P04626_Q15303","0:0","CellChatDB;Cellinker;ICELLNET","10214951",2,1,2069,"ENSG00000124882","EREG_HUMAN",NA,NA,NA,"EREG","ERBB2_ERBB4"
"O75326","COMPLEX:P05556_P56199","cell_surface_ligand","connectomeDB2020;CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET;SIGNOR","CellChatDB:22325954;CellPhoneDB:22325954;Cellinker:12879062;Cellinker:22325954;Cellinker:30568033;ICELLNET:17671519;SIGNOR:17377534","LIANA consensus","","","","","","","","","","SEMA7A_ITGA1","SEMA7A_ITGA1_ITGB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEMA7A","ITGA1__ITGB1","O75326",NA,NA,NA,"P05556_P56199","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;SIGNOR","15361064;16988024;21421911;15147720;26857815;19693543;17671519;12297042;14755292",2,1,8482,"ENSG00000288455","SEM7A_HUMAN",NA,NA,NA,"SEMA7A","ITGA1_ITGB1"
"O94856","COMPLEX:P78357_Q12860","cell_surface_ligand","CellChatDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB","","LIANA consensus","","","","","","","","","","NFASC_CNTN1","NFASC_CNTN1_CNTNAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFASC","CNTN1__CNTNAP1","O94856",NA,NA,NA,"P78357_Q12860","0:0","CellChatDB;Cellinker",NA,2,1,23114,"ENSG00000163531","NFASC_HUMAN",NA,NA,NA,"NFASC","CNTN1_CNTNAP1"
"P01135","COMPLEX:P00533_P04626","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker","Cellinker:12297049;Cellinker:3018723","LIANA consensus","","","","","","","","","","TGFA_EGFR","TGFA_EGFR_ERBB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFA","EGFR__ERBB2","P01135","2","PDB",NA,"P00533_P04626","1:1","CellChatDB;Cellinker;KEGG-MEDICUS;PDB",NA,2,1,7039,"ENSG00000163235","TGFA_HUMAN",NA,NA,NA,"TGFA","EGFR_ERBB2"
"P04083","COMPLEX:P25089_P25090","cell_surface_ligand","connectomeDB2020;CellChatDB;CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","CellChatDB","CellChatDB:22610094","LIANA consensus","","","","","","","","","","ANXA1_FPR2","ANXA1_FPR2_FPR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANXA1","FPR2__FPR3","P04083",NA,NA,NA,"P25089_P25090","0:0","CellChatDB",NA,2,1,301,"ENSG00000135046","ANXA1_HUMAN",NA,NA,NA,"ANXA1","FPR2_FPR3"
"P04216","COMPLEX:P05106_P06756","cell_surface_ligand","CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker","CellChatDB:18346467;CellChatDB:29212879;Cellinker:18346467;Cellinker:29212879","LIANA consensus","","","","","","","","","","THY1_ITGAV","THY1_ITGAV_ITGB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THY1","ITGAV__ITGB3","P04216",NA,NA,NA,"P05106_P06756","1:1","CORUM;CellChatDB;CellPhoneDB;Cellinker;Compleat;ComplexPortal;ICELLNET;KEGG-MEDICUS;PDB;SIGNOR","18441324;28302677;7532190;8798654;19693543;33731188;12297042;14755292;20027628;28846069",2,1,7070,"ENSG00000154096","THY1_HUMAN",NA,NA,NA,"THY1","ITGAV_ITGB3"
"P04216","COMPLEX:P05107_P11215","cell_surface_ligand","CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker","CellChatDB:15850796;Cellinker:15850796","LIANA consensus","","","","","","","","","","THY1_ITGAM","THY1_ITGAM_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THY1","ITGAM__ITGB2","P04216",NA,NA,NA,"P05107_P11215","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","22461623;6943205;8786317;19693543;28676852;12297042;14755292;4062888",2,1,7070,"ENSG00000154096","THY1_HUMAN",NA,NA,NA,"THY1","ITGAM_ITGB2"
